Index,Sentence
121,"Тодруулбал, манай улсын ноос, ноолуур, оёмол, сүлжмэл бараа бүтээгдэхүүнийг Америкийн Нэгдсэн Улс руу татваргүй гаргах асуудал."
122,"Иргэдийг аливаа гэмт хэрэг, зөрчилд өртөхөөс урьдчилан сэргийлэх, аюулгүй орчин бүрдүүлэх чиглэлээр Цагдаагийн байгууллага олон арга хэмжээг авч ажиллаж байгаа билээ."
123,"Үл хөдлөх хөрөнгийг физик гарал үүслээр нь байгалийн объект, хүний гараар бий болсон объект гэж хуваан авч үзнэ."
124,Бидний оюутан ахуй цаг 90-ээд оны эхэн бол Монгол Улс зах зээлийн харилцаанд дөнгөж шилжин орж байх үес бөгөөд
125,Энэ их бэлгэтэй зүйл болж байна.
126,Үүнээс харахад богино хэмжээний кино л манайд илүү хөгжөөд байх шиг санагдах юм?
127,"Би Есүст хайртай, Турк оронд хайртай” гэж хэлснийг гэрчүүд мэдээлжээ."
128,Төрийн өмчит компани өрсөлдөх чадвар сайтай байх ёстой.
129,Энэ дадлага сургуульд иргэн бүр оролцох үүрэгтэй.
130,Үүний гуравны нэг нь зөвхөн шампуны зах зээл бөгөөд 90 гаруй хувийг нь импортын бүтээгдэхүүн эзэлж байгаа юм.
131,Тиймээс Ардчилсан Намаас тасарсан хоёр гишүүнээс Ардын намын мөр зэрэгцсэн нөхөд нь зорилгоо биелүүлсэн гэж үзээд хөндийрсөн байх талтай.
132,Олон улсын “Транспаренси Интернэшнл” байгууллага 1995 оноос хойш дэлхийн улсуудын “Авлигын төсөөллийн индекс”-ийг жил бүр гаргаж байгаа билээ.
133,"Тоо чанарын хувьд өөрчлөгдөж өссөн байх нийгмийн хэрэгцээ шаардлагыг хангахын тулд эдийн засгийн үзүүлэлт, үйлдвэрлэл үйлчилгээний хэмжээ ямар түвшинд хүрсэн байх шаардлагатайг гаргаж ирнэ."
134,Үүний үр дүнд ганц сүүний үйлдвэр Булган аймагт бий болсон.
135,Хичнээн гэмт хэрэгтэн гэмгүй болоод явж байгаа бол...
136,"Манай яамны зүгээс цэвэр бохир усны шугамын эх үүсвэр, дэд бүтцийг бий болгох ажлыг тасралтгүй хийсээр байгаа."
137,Монгол хүн дэлхийн хаа хүртэл тархсан бол гэдэг нь миний сонирхдог зүйл.
138,"Туркийн тусгай үүргийн онгоц 21:25 цагт Улаанбаатараас хөөрч, Вэйсел Акчай шөнийн 01:40 цагт Эрүүгийн цагдаагийн газраас гарч ирсэн билээ."
139,Өнгөрсөн хугацаанд энэ хэрэгтэй холбоотойгоор Г.Алтан “Би энэ сүлжээнд ямар ч хамаагүй.
140,"авилгатай тэмцэх үндэсний хөтөлбөрийг хэрэгжүүлэхэд анхаарах асуудлуудын талаар үүрэг, чиглэл өгсөн байна."
141,“Хөдөө аж ахуйн салбарыг тогтвортой хөгжүүлэх замаар нэмүү өртгийн сүлжээг бий болгох мастер төлөвлөгөө” төслийг хэрэгжүүлэхээр албан ёсоор шийдвэрлэснийг талууд сайшаан хүлээн авав.
142,Говь-Алтай аймгийн Алтай сумын харьяат Д.Даяндоржтой гэр бүл болж 48 жил ханилсан.
143,"нэг л өдөр “Pandora” хэмээн нэрлэх болсон дэлхийн 100 гаруй оронд салбартай, алдар нь түгсэн үнэт эдлэлийн брэндийн эхлэлийг тавьжээ."
144,"төр засгийн өндөр, дээд хэмжээний айлчлал, түүнийг дагалдах яриа хэлэлцээнүүд эрчимжиж байв."
145,худалдаалагдаж буй хүнсний бүтээгдэхүүн худалдан авахгүй байх Хүнсний бүтээгдэхүүний хадгалалтанд анхаарах
146,Николай Рерихийн нэрэмжит Олон улсын шагналыг гардан авч буйд чин сэтгэлийн талархал илэрхийлье.
147,“Монгол Улсын засгийн газрыг “Тогтвортой хөгжил 2030” хөтөлбөрийн хэрэгжилтийн үр дүнд 1 хүнд ногдох үндэсний дундаж орлогыг 10 мянган ам.долларт хүргэх зорилготой.
148,анхааруулдаггүй зэрэг зөрчил гаргадгаас тухайн чигт зорчиж буй жолооч нарт харагддаггүй үүнээс шалтгаалан зам тээврийн осол гарах эрсдэлтэй байдаг.
149,түүнчлэн та бүхэн удахгүй болох гэж буй Сар шинийн баяраар ирж буй зочиддоо ийм төрлийн торыг бэлгэнд сонгож өгвөл нүдээ олсон бэлэг байх болов уу.
150,"үйлсэд идэвх санаачилгатай оролцохыг уриалав гэж нийслэлийн Засаг Даргын Тамгын Газрын Хэвлэл мэдээлэл, олон нийттэй харилцах хэлтсээс мэдээллэв."
151,"холбогдох албаны хүмүүст үүрэг чиглэл өгөхөөр Зам, Тээврийн хөгжлийн сайд Б.Энх-Амгалан Дархан-Уул аймаг, Төв аймгийн Баянчандмань, Сүмбэр сумдад ажиллав."
152,нийслэлийн асуудал хариуцсан албан тушаалтны үгийг үл тоох байдлаар зургаан сарын турш зарим ажлыг гацаасан компани байна.
153,Дутертегийн дэглэмийн эсрэг тэмцэх #BabaeAko буюу дэлхийн дахиныг давлагаалуулсан #Metoo аянтай дүйцэхүйц аяныг эх орондоо эхлүүлснийх нь төлөө уг шагналыг олгосон билээ.
154,"онцгой тохиолдлын болон амьжиргааг дэмжих тэтгэмж, 58.8 мянган хүн хөгжлийн бэрхшээлтэй иргэний хөнгөлөлт, тусламж, 342.6 мянган хүн ахмад настны хөнгөлөлт"
155,"тусламж үйлчилгээ, 9.2 мянган хүн алдар цолтой ахмад настны нэмэгдлийг тус тус нийгмийн халамжийн сангаас авахаар төлөвлөгдсөн буй талаар Хөдөлмөр, нийгмийн хамгааллын яам мэдээлэв."
156,Манайд өдрийн эмчилгээний тасаг гэж бий ч архинд донтогчдыг эмчлэх программаар эмчилгээ явагдаж байна.
157,Өнөөдөр ямар байдлаар бие сэтгэлээ хөгжөөмөөр байна?
158,Өгөх чинь угаас өөрсдийн чинь халааснаас гарахгүй юм чинь
159,Ер нь сэтгүүлчид жилийн жилд бичсээр нийслэлийн утааны хор уршиг улиг сэдэв болчихсон.
160,"Байгууллагуудын хоорондын уялдаа холбоог хангаж ажиллах, ажил эзэнтэй, бие биедээ ацаглаж үлдээдэггүй байхыг анхаармаар байна."
161,Манайх тэмээнээс илүү адуу олонтой айл л даа.
162,Монголчуудын хэчнээн хувь нь төсвөөс хамааралтай амьдардаг вэ.
163,"1976 онд П.Бадарчийн “Есөн эрдэнийн орон” найраглал Ерөнхий боловсролын сургуулийн сурах бичигт орсон байдаг агаад энэ бүтээлээр хүүхэд багачууд эх орноо хайрлах анхдагч сэтгэхүй, мэдрэмжээ олж авдаг юм."
164,Ард түмнийг төгс төлөөлсөн төр гэж хаана ч байдаггүй.
165,"Жил бүр зохион байгуулдаг энэхүү хуралдаанд Хууль зүй, дотоод хэргийн яам, Оросын холбооны улсын Дотоод явдлын яам болон Цагдаагийн ерөнхий газар, хоёр улсын хил залгаа нутаг дэвсгэрийн цагдаагийн байгууллага"
166,Талийгаачдын нэг нь “Ажлын газрын залуу маань химийн бодист хордоод хараагүй болчихлоо” хэмээн өмнө нь ярьж байжээ
167,Хамгийн сүүлийнхийг нь Хэнтийн нуруунд Гүнжийн сүмийн ойролцоо тавьсан.
168,Тиймээс урьдчилан сэргийлэх үзлэг чухал ач холбогдолтой.
169,Хоруу чанар ихтэй их хэмжээгээр бохирдуулсан бол хариуцлага өндөр байна.
170,Эдийн засагч хүний хувьд та яаж харж байна?
171,Офшор бүсэд ганц С.Баярцогт биш өөр цөөнгүй хүн данстай байгаа.
172,Хамгийн бага үнэ санал болгож байгаа нь тендерт шалгарах үндэслэл болохгүй гэж байна.
173,"Хууль бус мод бэлтгэл нь Монгол орны төдийгүй дэлхий нийтийн хэмжээнд ойн нөөцийг хомсдуулагч, доройтуулагч хүчин зүйлийн нэг болсоор байна."
174,Өөр ойрхон эдийн засгийн интеграц байхгүй.
175,Үүнээс гадна сургууль орчмын үйлчилгээний газруудад ибаримт олгох тал дээр анхаарч хамтран ажиллана гэв.
176,Хууль сахиулах байгууллагад яагаад хэн ч ханддаггүй юм бол?
177,Гэхдээ гэдэс цатгалан явна гэж бараг үгүй шүү.
178,Товчхондоо гэр хорооллыг хөгжүүлж байж л утаанаас сална.
179,"Өөрөөр хэлбэл, аливаа асуудлыг шүүх гэж байгаа бол тэр хүн эхлээд судлаач болж хувирах ёстой."
180,Өөрөөр хэлбэл бусадтай бус өөртэйгөө байнга өрсөлдөж байж өчигдөр байсан өөрийгөө даван дийлэх явдал илүү чухал юм.
181,Том охин Амарзаяа Соёл Урлагийн Их Сургууль ын харьяа Дүрслэх урлагийн дээд сургуулийн Чимэглэлийн зураач мэргэжилтэй аавын мэргэжлийг өвлөн одоо Аймгийн Музейд ажилладаг.
182,"Татварын байгууллагын үйл ажиллагааг бүрэн цахимжуулах, үйлчилгээг илүү чанартай, хүртээмжтэй болгох үүднээс татварын удирдлагын нэгдсэн системийг 2019 оны нэгдүгээр сарын 01-ээс нэвтрүүлэхээр ажиллаж байгааг Татварын ерөнхий газраас мэдэгдлээ."
183,Ёмиүри сонины сурвалжлагч Казахстаны малчин айлд очиж айраг хэрхэн хийдэг талаар Талын сүүн зам нэртэй сурвалжилсан тэмдэглэл бичсэнийг та бүхэнд илгээлээ.
184,Юуны өмнө үйл ажиллагааныхаа талаар танилцуулахгүй юу?
185,Улмаар 1922 оны 9 дүгээр сарын 1-ний өдөр Ардын Засгийн газрын 39 дүгээр хурал тэрхүү комиссын ажилтай холбогдуулан гаргасан тогтоолдоо
186,Монгол дуучны нэр болоод дууны нэр танил биш учраас заримыг нь буулгаж чадсангүй.
187,"Тэр сар гаруйн өмнө сонгуулийн сурталчилгааны үеэрээ бусдад хутгалуулж, өнгөрсөн хугацааг эмнэлгийн орон дээр өнгөрүүлсэн юм."
188,Гэтэл энэ хориглолтыг томоор нээгээд өгчихлөө.
189,"Бидний хүнсэндээ өргөн хэрэглэдэг элсэн чихрийн нэг төрөл болох трихалусыг технологид авч хэрэгжүүлж байгаа тул хүний биед хоргүй, эко арга” хэмээлээ."
190,Харин энэ оны долдугаар сард Францын Нанте хотод 3D технологийн аргаар робот машины хэвлэсэн байшинд анхны гэр бүл нүүж оржээ.
191,"Бидний үед ингэж л хүүхдүүдийг биеийг нь даалгаж,ажил амьдралд сургадаг байлаа."
192,Ямартай ч 40 гаруй жил бидэнд “шувтруулж” байгаа ганц “саалийн үнээ”гээ хаа байсан Өмнөд Африкийн нэгэн банканд хураалгачхалгүй үлдсэн Засгийн газрыг “...
193,Гол нь зөв талаас нь ойлгох чухал.
194,"Гэхдээ хүндэтгэнэ гэдэг нь тухайн хүний зан чанар, нийгэмд эзлэх байр суурь, үйл хэргийг хүндэтгэх"
195,Түүгээрээ эцсийн бүтээгдэхүүн болох пальто үйлдвэрлэж байв
196,"Монголбанкны Ерөнхийлөгч Н.Баяртсайханы хувь эзэмшдэг компани Жижиг, дунд үйлдвэрлэлийг хөгжүүлэх сангаас зээл авсан эсэх тухай ТАЙЛБАР"
197,Varieties of Democracy Монгол Улс авбал зохих 100 онооноос 2017 онд 35 оноо авсан байнa
